id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2020-08-30T14:46:15;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2020-08-30T18:43:07;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2020-08-30T03:46:31;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2020-08-29T23:16:08;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2020-08-30T17:54:02;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2020-08-30T02:40:14;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2020-08-30T05:10:22;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2020-08-30T19:13:46;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2020-08-30T10:34:25;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2020-08-29T23:14:35;32637;8639
